,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",5722693,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Save Your Tears","The Weeknd",4071874,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,"Blinding Lights","The Weeknd",3474566,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,DÁKITI,"Bad Bunny",3341872,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,"Calling My Phone","Lil Tjay",3307223,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
6,"Astronaut In The Ocean","Masked Wolf",2748960,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,Bandido,"Myke Towers",2712909,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
8,"Mood (feat. iann dior)",24kGoldn,2665486,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,"WITHOUT YOU","The Kid LAROI",2621251,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
10,"The Business",Tiësto,2529322,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,"LA NOCHE DE ANOCHE","Bad Bunny",2483752,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
12,Streets,"Doja Cat",2438833,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
13,Whoopty,CJ,2361527,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
14,"Good Days",SZA,2315725,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
15,"Levitating (feat. DaBaby)","Dua Lipa",2179772,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
16,positions,"Ariana Grande",2160321,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
17,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2114109,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
18,Up,"Cardi B",2111487,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,34+35,"Ariana Grande",2092899,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,Dynamite,BTS,2092233,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
21,BICHOTA,"KAROL G",2079310,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
22,telepatía,"Kali Uchis",2060659,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
23,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1951729,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
24,"We're Good","Dua Lipa",1841258,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
25,"Hecha Pa' Mi",Boza,1833836,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
26,"HEARTBREAK ANNIVERSARY",Giveon,1815921,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
27,Anyone,"Justin Bieber",1802424,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
28,"Paradise (feat. Dermot Kennedy)",MEDUZA,1790301,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
29,"you broke me first","Tate McRae",1786426,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
30,"Someone You Loved","Lewis Capaldi",1760983,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,"What You Know Bout Love","Pop Smoke",1708487,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
32,"Therefore I Am","Billie Eilish",1647495,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
33,"Heat Waves","Glass Animals",1626188,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
34,"Watermelon Sugar","Harry Styles",1619055,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,"Goosebumps - Remix","Travis Scott",1589032,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
36,"Head & Heart (feat. MNEK)","Joel Corry",1587366,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
37,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1563700,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
38,"Ella No Es Tuya - Remix","Rochy RD",1535025,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
39,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1498095,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
40,"test drive","Ariana Grande",1462256,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw
41,"Sweater Weather","The Neighbourhood",1444598,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
42,"GIRL LIKE ME","Black Eyed Peas",1436188,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
43,Hawái,Maluma,1428468,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
44,Reloj,"Rauw Alejandro",1396493,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
45,"Your Love (9PM)",ATB,1395734,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
46,"Dance Monkey","Tones And I",1394199,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
47,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1391749,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
48,"WAP (feat. Megan Thee Stallion)","Cardi B",1387566,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
49,"Don't Start Now","Dua Lipa",1357957,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
50,"Roses - Imanbek Remix","SAINt JHN",1352809,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
51,Arcade,"Duncan Laurence",1320390,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
52,"La Nota","Manuel Turizo",1302511,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
53,Heather,"Conan Gray",1289304,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
54,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1280549,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
55,"Before You Go","Lewis Capaldi",1274098,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
56,"Best Friend (feat. Doja Cat)",Saweetie,1247597,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
57,"Lonely (with benny blanco)","Justin Bieber",1233111,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
58,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1221808,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
59,"No Te Enamores - Remix",Milly,1175332,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
60,willow,"Taylor Swift",1150209,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
61,Goosebumps,HVME,1143369,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
62,Afterglow,"Ed Sheeran",1125717,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
63,"TE MUDASTE","Bad Bunny",1115138,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
64,"death bed (coffee for your head)",Powfu,1113674,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
65,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1103217,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
66,"Ropa Cara",Camilo,1102743,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
67,"lovely (with Khalid)","Billie Eilish",1092256,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,"Love Story (Taylor’s Version)","Taylor Swift",1084123,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
69,Circles,"Post Malone",1084007,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
70,"Holy (feat. Chance The Rapper)","Justin Bieber",1082180,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
71,"Relación - Remix",Sech,1076317,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
72,"Lucid Dreams","Juice WRLD",1069671,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,HOLIDAY,"Lil Nas X",1059670,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
74,Snowman,Sia,1054481,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
75,"The Hills","The Weeknd",1049061,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
76,Golden,"Harry Styles",1045777,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
